[2018-07-31 19:18:19] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_category_product_3","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:18:19] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_product_2","catalog_category_product_2","catalog_category_product_3"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:18:19] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_product_2","catalog_category_product_2","catalog_category_product_3"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:18:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_product_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:18:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_category_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:18:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_category_3","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:18:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/product/save/type/simple/store/0/set/4/key/6d653d941792ff8a60c5a2f737fe3b967c0485c15e3fe50bd3428ab8947992eb/back/edit","invalidateInfo":{"tags":["catalog_category_1","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:19:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/category/save/key/4474aafd5e694cc02adc45ecff14c4c9f0e723899c2e92956448b14491acef6d/","invalidateInfo":{"tags":["catalog_category"],"mode":"matchingAnyTag"},"is_exception":false} []
[2018-07-31 19:19:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/category/save/key/4474aafd5e694cc02adc45ecff14c4c9f0e723899c2e92956448b14491acef6d/","invalidateInfo":{"tags":["catalog_category_4","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:19:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/category/save/key/4474aafd5e694cc02adc45ecff14c4c9f0e723899c2e92956448b14491acef6d/","invalidateInfo":{"tags":["catalog_category_product_4","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:19:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/category/save/key/4474aafd5e694cc02adc45ecff14c4c9f0e723899c2e92956448b14491acef6d/","invalidateInfo":{"tags":["catalog_category","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:19:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/category/save/key/4474aafd5e694cc02adc45ecff14c4c9f0e723899c2e92956448b14491acef6d/","invalidateInfo":{"tags":["catalog_category_4","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:19:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/category/save/key/4474aafd5e694cc02adc45ecff14c4c9f0e723899c2e92956448b14491acef6d/","invalidateInfo":{"tags":["catalog_category_product_4","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:19:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/category/save/key/4474aafd5e694cc02adc45ecff14c4c9f0e723899c2e92956448b14491acef6d/","invalidateInfo":{"tags":["catalog_category","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:19:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/category/save/key/4474aafd5e694cc02adc45ecff14c4c9f0e723899c2e92956448b14491acef6d/","invalidateInfo":{"tags":["catalog_category_4","catalog_category_product_4","catalog_category"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:19:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/catalog/category/save/key/4474aafd5e694cc02adc45ecff14c4c9f0e723899c2e92956448b14491acef6d/","invalidateInfo":{"tags":["catalog_category_4","catalog_category_product_4","catalog_category"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:20:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/checkout/cart/add/uenc/aHR0cDovLzEyNy4wLjAuMS9tMi9kcmVzcy5odG1s/product/2/","invalidateInfo":{"identifier":"notification_update_customer_session_2"},"is_exception":false} []
[2018-07-31 19:20:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/rest/default/V1/carts/mine/payment-information","invalidateInfo":{"tags":["catalog_product_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:22:56] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/review/product/post/id/1/","invalidateInfo":{"tags":["catalog_product_1","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:22:56] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/review/product/post/id/1/","invalidateInfo":{"tags":["catalog_product_1","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:23:51] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/review/product/save/id/1/key/aed7ca76d8c3798893321923fc52f3f4d953bed7eb72ecb0022dc462e190d862/","invalidateInfo":{"tags":["catalog_product_1","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:23:51] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/review/product/save/id/1/key/aed7ca76d8c3798893321923fc52f3f4d953bed7eb72ecb0022dc462e190d862/","invalidateInfo":{"tags":["catalog_product_1","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:25:05] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/review/product/save/id/1/key/aed7ca76d8c3798893321923fc52f3f4d953bed7eb72ecb0022dc462e190d862/","invalidateInfo":{"tags":["catalog_product_1","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:25:05] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/review/product/save/id/1/key/aed7ca76d8c3798893321923fc52f3f4d953bed7eb72ecb0022dc462e190d862/","invalidateInfo":{"tags":["catalog_product_1","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:26:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/review/rating/save/id/3/key/4e1978e218031dabcc041e209dc97f19de521ef3442376ae17c6e068d86821b0/active_tab/form_section/","invalidateInfo":{"tags":["review_block","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:26:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/review/rating/save/id/3/key/4e1978e218031dabcc041e209dc97f19de521ef3442376ae17c6e068d86821b0/active_tab/form_section/","invalidateInfo":{"tags":["review_block","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:26:28] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/review/rating/save/id/1/key/4e1978e218031dabcc041e209dc97f19de521ef3442376ae17c6e068d86821b0/active_tab/form_section/","invalidateInfo":{"tags":["review_block","FPC"],"mode":"matchingTag"},"is_exception":false} []
